City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kone,-21.0595,164.8658,21.88,46,5,6.03,NC,1691553744
83,quiindy,-25.9667,-57.2667,17.88,98,99,1.89,PY,1691553744
84,kenora,49.8167,-94.4337,17.54,67,20,3.09,CA,1691553744
85,suihua,46.6406,126.9969,20.54,91,100,0.94,CN,1691553744
86,belyy yar,53.6039,91.3903,23.94,53,0,1.0,RU,1691553745
87,aioun,16.6614,-9.6149,31.42,28,46,5.76,MR,1691553745
88,weno,7.4515,151.8468,26.62,79,100,5.11,FM,1691553745
89,acajutla,13.5928,-89.8275,27.4,82,39,0.61,SV,1691553745
90,lihue,21.9789,-159.3672,32.58,75,51,9.06,US,1691553746
91,el calafate,-50.3408,-72.2768,1.8,91,91,0.29,AR,1691553746
92,balqash,46.8481,74.995,24.33,64,0,3.0,KZ,1691553746
93,hajnowka,52.7433,23.5812,12.64,70,84,3.3,PL,1691553563
94,itororo,-15.1169,-40.0703,18.51,98,28,0.61,BR,1691553747
95,tobelo,1.7284,128.0095,30.64,62,74,4.46,ID,1691553747
96,aykhal,66.0,111.5,25.25,38,5,9.3,RU,1691553747
97,mejit,10.2753,170.8646,28.3,73,68,5.07,MH,1691553748
98,san julian,21.0167,-102.1667,17.86,58,77,0.94,MX,1691553748
99,whakatane,-37.9585,176.9854,13.62,67,59,0.45,NZ,1691553540
100,port elizabeth,-33.918,25.5701,14.16,94,75,1.03,ZA,1691553748
101,hammerfest,70.6634,23.6821,23.25,73,0,4.12,NO,1691553749
102,thompson,55.7435,-97.8558,11.09,87,40,2.57,CA,1691553749
103,antsiranana,-12.2787,49.2917,21.42,73,20,4.12,MG,1691553749
104,albany,42.6001,-73.9662,20.23,84,98,4.47,US,1691553749
105,codrington,-38.2667,141.9667,16.1,60,0,8.77,AU,1691553750
106,port alfred,-33.5906,26.891,13.99,97,100,4.52,ZA,1691553750
107,alamogordo,32.8995,-105.9603,24.56,55,75,7.72,US,1691553750
108,nsanje,-16.92,35.262,14.93,79,0,0.83,MW,1691553750
109,cambria,35.5641,-121.0808,18.68,90,27,1.16,US,1691553751
110,georgetown,5.4112,100.3354,32.19,70,20,1.54,MY,1691553751
111,glendive,47.1053,-104.7125,21.79,56,0,2.06,US,1691553751
112,gebeit,21.0667,36.3167,30.63,18,1,1.01,SD,1691553751
113,mollendo,-17.0231,-72.0147,16.69,86,40,3.24,PE,1691553752
114,sona,45.4388,10.8255,18.75,77,0,0.51,IT,1691553752
115,kokstad,-30.5472,29.4241,6.62,88,41,0.45,ZA,1691553752
116,invercargill,-46.4,168.35,6.12,77,92,5.36,NZ,1691553752
117,midar,34.9403,-3.5331,21.65,68,28,1.24,MA,1691553753
118,tobol'sk,58.2,68.2667,20.83,63,91,2.93,RU,1691553753
119,omdurman,15.6445,32.4777,29.07,59,86,9.12,SD,1691553753
120,tiksi,71.6872,128.8694,18.3,43,7,1.52,RU,1691553754
121,papatowai,-46.5619,169.4708,5.12,73,86,6.8,NZ,1691553754
122,oranjemund,-28.55,16.4333,12.35,85,3,2.73,NA,1691553754
123,la passe,45.5549,-0.8967,13.88,65,1,2.89,FR,1691553754
124,avarua,-21.2078,-159.775,23.03,64,18,4.12,CK,1691553755
125,nuuk,64.1835,-51.7216,4.4,91,93,0.87,GL,1691553507
126,nadym,65.5333,72.5167,11.81,59,99,10.39,RU,1691553645
127,ghanzi,-21.5667,21.7833,10.05,40,3,4.75,BW,1691553755
128,thabazimbi,-24.5917,27.4116,11.39,39,2,1.17,ZA,1691553755
129,gurupa,-1.405,-51.64,23.69,94,75,2.28,BR,1691553756
130,west island,-12.1568,96.8225,26.99,74,40,5.66,CC,1691553756
131,linda,39.1277,-121.5508,27.4,49,0,4.63,US,1691553756
132,polyarnyy,69.1989,33.4478,17.24,75,0,4.07,RU,1691553756
133,partapur,23.6,74.1667,26.43,79,100,4.96,IN,1691553757
134,port lincoln,-34.7333,135.8667,19.86,41,20,11.22,AU,1691553757
135,natal,-5.795,-35.2094,24.36,100,75,3.09,BR,1691553616
136,fort st. john,56.2499,-120.8529,17.94,72,75,4.12,CA,1691553677
137,broken hill,-31.95,141.4333,19.52,23,34,9.13,AU,1691553758
138,reggane,26.7158,0.1714,35.7,17,0,9.28,DZ,1691553555
139,chonchi,-42.6128,-73.8092,10.07,98,100,3.23,CL,1691553758
140,klyuchi,52.2667,79.1667,24.79,37,37,1.49,RU,1691553758
141,hermanus,-34.4187,19.2345,10.55,83,0,5.62,ZA,1691553759
142,kiruna,67.8557,20.2251,15.51,88,75,4.12,SE,1691553759
143,callao,-12.0667,-77.15,20.16,77,40,5.66,PE,1691553759
144,buedu,8.2803,-10.3719,21.5,99,100,1.12,SL,1691553759
145,north haven,41.3909,-72.8595,22.09,82,40,2.57,US,1691553759
146,margate,51.3813,1.3862,14.27,87,99,1.34,GB,1691553760
147,paidha,2.4167,30.9855,15.38,85,64,2.0,UG,1691553760
148,new norfolk,-42.7826,147.0587,14.72,42,100,2.58,AU,1691553760
149,maintirano,-18.0667,44.0167,21.02,84,4,3.48,MG,1691553761
150,bikenibeu village,1.3673,173.1241,30.98,70,75,2.06,KI,1691553761
151,ushuaia,-54.8,-68.3,0.81,86,0,1.54,AR,1691553606
152,kudahuvadhoo,2.6708,72.8944,27.78,72,89,2.6,MV,1691553761
